MOV A,B|000000000000000
MOV B,A|000000100000000
MOV A,Lit|0000010Lit
MOV B,Lit|0000011Lit
ADD A,B|000010000000000
ADD B,A|000010100000000
ADD A,Lit|0000110Lit
ADD B,Lit|0000111Lit
SUB A,B|000100000000000
SUB B,A|000100100000000
SUB A,Lit|0001010Lit
SUB B,Lit|0001011Lit
AND A,B|000110000000000
AND B,A|000110100000000
AND A,Lit|0001110Lit
AND B,Lit|0001111Lit
OR A,B|001000000000000
OR B,A|001000100000000
OR A,Lit|0010010Lit
OR B,Lit|0010011Lit
NOT A,A|001010000000000
NOT A,B|001010100000000
NOT B,A|001011000000000
NOT B,B|001011100000000
XOR A,B|001100000000000
XOR B,A|001100100000000
XOR A,Lit|0011010Lit
XOR B,Lit|0011011Lit
SHL A,A|001110000000000
SHL A,B|001110100000000
SHL B,A|001111000000000
SHL B,B|001111100000000
SHR A,A|010000000000000
SHR A,B|010000100000000
SHR B,A|010001000000000
SHR B,B|010001100000000
INC B|010010000000000
MOV A,(Dir)|0100101Lit
MOV B,(Dir)|0100110Lit
MOV (Dir),A|0100111Lit
MOV (Dir),B|0101000Lit
MOV A,(B)|010100100000000
MOV B,(B)|010101000000000
MOV (B),A|010101100000000
ADD A,(Dir)|0101100Lit
ADD B,(Dir)|0101101Lit
ADD A,(B)|010111000000000
ADD (Dir)|0101111Lit
SUB A,(Dir)|0110000Lit
SUB B,(Dir)|0110001Lit
SUB A,(B)|011001000000000
SUB (Dir)|0110011Lit
AND A,(Dir)|0110100Lit
AND B,(Dir)|0110101Lit
AND A,(B)|011011000000000
AND (Dir)|0110111Lit
OR A,(Dir)|0111000Lit
OR B,(Dir)|0111001Lit
OR A,(B)|011101000000000
OR (Dir)|0111011Lit
NOT (Dir),A|0111100Lit
NOT (Dir),B|0111101Lit
NOT (B)|011111000000000
XOR A,(Dir)|0111111Lit
XOR B,(Dir)|1000000Lit
XOR A,(B)|100000100000000
XOR (B)|100001000000000
SHL (Dir),A|1000011Lit
SHL (Dir),B|1000100Lit
SHL (B)|100010100000000
SHR (Dir),A|1000110Lit
SHR (Dir),B|1000111Lit
SHR (B)|100100000000000
INC (Dir)|1001001Lit
INC (B)|100101000000000
RST (Dir)|1001011Lit
RST (B)|100110000000000
CMP A,B|100110100000000
CMP A,Lit|1001110Lit
CMP B,Lit|1001111Lit
CMP A,(Dir)|1010000Lit
CMP B,(Dir)|1010001Lit
CMP A,(B)|101001000000000
JMP Dir|1010011Lit
JEQ Dir|1010100Lit
JNE Dir|1010101Lit
JGT Dir|1010110Lit
JLT Dir|1010111Lit
JGE Dir|1011000Lit
JLE Dir|1011001Lit
JCR Dir|1011010Lit
JOV Dir|1011011Lit
